screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,,wild num,wild yes,wild no,wild yes small,wild no small,wild yes medium,wild no medium,wild yes big,wild no big,,wild mult weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,reels 4 weighted,,reels 4,reels 4,reels 4,reels 4,reels 4,weights,weights,weights,weights,weights,reels 5 weighted,,reels 5,reels 5,reels 5,reels 5,reels 5,weights,weights,weights,weights,weights,reels 6 weighted,,reels 6,reels 6,reels 6,reels 6,reels 6,weights,weights,weights,weights,weights,reels 7 weighted,,reels 7,reels 7,reels 7,reels 7,reels 7,weights,weights,weights,weights,weights,reels 8 weighted,,reels 8,reels 8,reels 8,reels 8,reels 8,weights,weights,weights,weights,weights,reels 9 weighted,,reels 9,reels 9,reels 9,reels 9,reels 9,weights,weights,weights,weights,weights,reels 10 weighted,,reels 10,reels 10,reels 10,reels 10,reels 10,weights,weights,weights,weights,weights,reels 11 weighted,,reels 11,reels 11,reels 11,reels 11,reels 11,weights,weights,weights,weights,weights,,,game
,,,,F10,,,,,,,,,,RP11,,F10,0,0,5,10,30,,F10,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,F8,WD,F10,F6,M3,1,1,1,0,1,,,,F8,WD,F10,F6,M3,0,0,0,0,0,,,,F8,F8,F10,F6,M3,1,1,1,1,1,,,,F8,WD,F10,F6,M3,1,1,1,0,1,,,,F8,WD,F10,F6,M3,0,0,0,0,0,,,F8,WD,F10,F6,M3,1,1,1,1,1,,,F8,WD,F10,F6,M3,1,1,1,0,1,,,F8,WD,F10,F6,M3,0,0,0,0,0,,,F8,WD,F10,F6,M3,1,1,1,1,1,,,F8,WD,F10,F6,M3,1,1,1,0,1,,,F8,WD,F10,F6,M3,0,0,0,0,0,,,F8,WD,F10,F6,M3,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,M4,F8,F6,1,1,1,0,1,,,,F8,F8,M4,F8,F6,0,0,0,0,0,,,,F8,F8,M4,F8,F6,1,1,1,1,1,,,,F8,F8,M4,F8,F6,1,1,1,0,1,,,,F8,F8,M4,F8,F6,0,0,0,0,0,,,F8,F8,M4,F8,F6,1,1,1,1,1,,,F8,F8,M4,F8,F6,1,1,1,0,1,,,F8,F8,M4,F8,F6,0,0,0,0,0,,,F8,F8,M4,F8,F6,1,1,1,1,1,,,F8,F8,M4,F8,F6,1,1,1,0,1,,,F8,F8,M4,F8,F6,0,0,0,0,0,,,F8,F8,M4,F8,F6,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F8,M4,F8,F6,1,1,1,0,1,,,,F7,F8,M4,F8,F6,0,0,0,0,0,,,,F7,M2,M4,F8,F6,1,1,1,1,1,,,,F7,F8,M4,F8,F6,1,1,1,0,1,,,,F7,F8,M4,F8,F6,0,0,0,0,0,,,F7,F8,M4,F8,F6,1,1,1,1,1,,,F7,F8,M4,F8,F6,1,1,1,0,1,,,F7,F8,M4,F8,F6,0,0,0,0,0,,,F7,F8,M4,F8,F6,1,1,1,1,1,,,F7,F8,M4,F8,F6,1,1,1,0,1,,,F7,F8,M4,F8,F6,0,0,0,0,0,,,F7,F8,M4,F8,F6,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M2,F10,M2,F10,1,1,1,0,1,,,,F7,M2,F10,M2,F10,0,0,0,0,0,,,,M2,M2,F10,M2,F10,1,1,1,1,1,,,,F7,M2,F10,M2,F10,1,1,1,0,1,,,,F7,M2,F10,M2,F10,0,0,0,0,0,,,F7,M2,F10,M2,F10,1,1,1,1,1,,,F7,M2,F10,M2,F10,1,1,1,0,1,,,F7,M2,F10,M2,F10,0,0,0,0,0,,,F7,M2,F10,M2,F10,1,1,1,1,1,,,F7,M2,F10,M2,F10,1,1,1,0,1,,,F7,M2,F10,M2,F10,0,0,0,0,0,,,F7,M2,F10,M2,F10,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,M5,M2,F9,1,1,1,0,1,,,,M2,M2,M5,M2,F9,0,0,0,0,0,,,,F7,M4,M5,M2,F9,1,1,1,1,1,,,,M2,M2,M5,M2,F9,1,1,1,0,1,,,,M2,M2,M5,M2,F9,0,0,0,0,0,,,M2,M2,M5,M2,F9,1,1,1,1,1,,,M2,M2,M5,M2,F9,1,1,1,0,1,,,M2,M2,M5,M2,F9,0,0,0,0,0,,,M2,M2,M5,M2,F9,1,1,1,1,1,,,M2,M2,M5,M2,F9,1,1,1,0,1,,,M2,M2,M5,M2,F9,0,0,0,0,0,,,M2,M2,M5,M2,F9,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M4,M5,M2,M4,1,1,1,0,1,,,,M2,M4,M5,M2,M4,0,0,0,0,0,,,,M2,F7,M5,M2,M4,1,1,1,1,1,,,,M2,M4,M5,M2,M4,1,1,1,0,1,,,,M2,M4,M5,M2,M4,0,0,0,0,0,,,M2,M4,M5,M2,M4,1,1,1,1,1,,,M2,M4,M5,M2,M4,1,1,1,0,1,,,M2,M4,M5,M2,M4,0,0,0,0,0,,,M2,M4,M5,M2,M4,1,1,1,1,1,,,M2,M4,M5,M2,M4,1,1,1,0,1,,,M2,M4,M5,M2,M4,0,0,0,0,0,,,M2,M4,M5,M2,M4,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F7,F10,F9,M4,1,1,1,0,1,,,,M2,F7,F10,F9,M4,0,0,0,0,0,,,,M2,F7,F10,F9,M4,1,1,1,1,1,,,,M2,F7,F10,F9,M4,1,1,1,0,1,,,,M2,F7,F10,F9,M4,0,0,0,0,0,,,M2,F7,F10,F9,M4,1,1,1,1,1,,,M2,F7,F10,F9,M4,1,1,1,0,1,,,M2,F7,F10,F9,M4,0,0,0,0,0,,,M2,F7,F10,F9,M4,1,1,1,1,1,,,M2,F7,F10,F9,M4,1,1,1,0,1,,,M2,F7,F10,F9,M4,0,0,0,0,0,,,M2,F7,F10,F9,M4,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F7,RP1,F8,F10,1,1,1,0,1,,,,F10,F7,RP1,F8,F10,0,0,0,0,0,,,,F10,WD,RP1,F8,F10,1,1,1,1,1,,,,F10,F7,RP1,F8,F10,1,1,1,0,1,,,,F10,F7,RP1,F8,F10,0,0,0,0,0,,,F10,F7,RP1,F8,F10,1,1,1,1,1,,,F10,F7,RP1,F8,F10,1,1,1,0,1,,,F10,F7,RP1,F8,F10,0,0,0,0,0,,,F10,F7,RP1,F8,F10,1,1,1,1,1,,,F10,F7,RP1,F8,F10,1,1,1,0,1,,,F10,F7,RP1,F8,F10,0,0,0,0,0,,,F10,F7,RP1,F8,F10,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,WD,RP1,F8,F7,1,1,1,0,1,,,,F10,WD,RP1,F8,F7,0,0,0,0,0,,,,F10,F8,RP1,F8,F7,1,1,1,1,1,,,,F10,WD,RP1,F8,F7,1,1,1,0,1,,,,F10,WD,RP1,F8,F7,0,0,0,0,0,,,F10,WD,RP1,F8,F7,1,1,1,1,1,,,F10,WD,RP1,F8,F7,1,1,1,0,1,,,F10,WD,RP1,F8,F7,0,0,0,0,0,,,F10,WD,RP1,F8,F7,1,1,1,1,1,,,F10,WD,RP1,F8,F7,1,1,1,0,1,,,F10,WD,RP1,F8,F7,0,0,0,0,0,,,F10,WD,RP1,F8,F7,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F8,RP1,F8,M4,1,1,1,0,1,,,,F6,F8,RP1,F8,M4,0,0,0,0,0,,,,M3,F8,RP1,F8,M4,1,1,1,1,1,,,,F6,F8,RP1,F8,M4,1,1,1,0,1,,,,F6,F8,RP1,F8,M4,0,0,0,0,0,,,F6,F8,RP1,F8,M4,1,1,1,1,1,,,F6,F8,RP1,F8,M4,1,1,1,0,1,,,F6,F8,RP1,F8,M4,0,0,0,0,0,,,F6,F8,RP1,F8,M4,1,1,1,1,1,,,F6,F8,RP1,F8,M4,1,1,1,0,1,,,F6,F8,RP1,F8,M4,0,0,0,0,0,,,F6,F8,RP1,F8,M4,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F8,RP1,F7,F9,1,1,1,0,1,,,,M3,F8,RP1,F7,F9,0,0,0,0,0,,,,F6,M3,RP1,F7,F9,1,1,1,1,1,,,,M3,F8,RP1,F7,F9,1,1,1,0,1,,,,M3,F8,RP1,F7,F9,0,0,0,0,0,,,M3,F8,RP1,F7,F9,1,1,1,1,1,,,M3,F8,RP1,F7,F9,1,1,1,0,1,,,M3,F8,RP1,F7,F9,0,0,0,0,0,,,M3,F8,RP1,F7,F9,1,1,1,1,1,,,M3,F8,RP1,F7,F9,1,1,1,0,1,,,M3,F8,RP1,F7,F9,0,0,0,0,0,,,M3,F8,RP1,F7,F9,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,RP1,F7,M4,1,1,1,0,1,,,,M3,M3,RP1,F7,M4,0,0,0,0,0,,,,M3,M3,RP1,F7,M4,1,1,1,1,1,,,,M3,M3,RP1,F7,M4,1,1,1,0,1,,,,M3,M3,RP1,F7,M4,0,0,0,0,0,,,M3,M3,RP1,F7,M4,1,1,1,1,1,,,M3,M3,RP1,F7,M4,1,1,1,0,1,,,M3,M3,RP1,F7,M4,0,0,0,0,0,,,M3,M3,RP1,F7,M4,1,1,1,1,1,,,M3,M3,RP1,F7,M4,1,1,1,0,1,,,M3,M3,RP1,F7,M4,0,0,0,0,0,,,M3,M3,RP1,F7,M4,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,RP1,M3,F6,1,1,1,0,1,,,,M3,M3,RP1,M3,F6,0,0,0,0,0,,,,M3,F9,RP1,M3,F6,1,1,1,1,1,,,,M3,M3,RP1,M3,F6,1,1,1,0,1,,,,M3,M3,RP1,M3,F6,0,0,0,0,0,,,M3,M3,RP1,M3,F6,1,1,1,1,1,,,M3,M3,RP1,M3,F6,1,1,1,0,1,,,M3,M3,RP1,M3,F6,0,0,0,0,0,,,M3,M3,RP1,M3,F6,1,1,1,1,1,,,M3,M3,RP1,M3,F6,1,1,1,0,1,,,M3,M3,RP1,M3,F6,0,0,0,0,0,,,M3,M3,RP1,M3,F6,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,RP1,M3,F6,1,1,1,0,1,,,,F7,F9,RP1,M3,F6,0,0,0,0,0,,,,F7,F6,RP1,M3,F6,1,1,1,1,1,,,,F7,F9,RP1,M3,F6,1,1,1,0,1,,,,F7,F9,RP1,M3,F6,0,0,0,0,0,,,F7,F9,RP1,M3,F6,1,1,1,1,1,,,F7,F9,RP1,M3,F6,1,1,1,0,1,,,F7,F9,RP1,M3,F6,0,0,0,0,0,,,F7,F9,RP1,M3,F6,1,1,1,1,1,,,F7,F9,RP1,M3,F6,1,1,1,0,1,,,F7,F9,RP1,M3,F6,0,0,0,0,0,,,F7,F9,RP1,M3,F6,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,RP1,M3,RP1,1,1,1,0,1,,,,F8,F6,RP1,M3,RP1,0,0,0,0,0,,,,F8,F6,RP1,M3,RP1,1,1,1,1,1,,,,F8,F6,RP1,M3,RP1,1,1,1,0,1,,,,F8,F6,RP1,M3,RP1,0,0,0,0,0,,,F8,F6,RP1,M3,RP1,1,1,1,1,1,,,F8,F6,RP1,M3,RP1,1,1,1,0,1,,,F8,F6,RP1,M3,RP1,0,0,0,0,0,,,F8,F6,RP1,M3,RP1,1,1,1,1,1,,,F8,F6,RP1,M3,RP1,1,1,1,0,1,,,F8,F6,RP1,M3,RP1,0,0,0,0,0,,,F8,F6,RP1,M3,RP1,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,RP1,F6,RP1,1,1,0,0,1,,,,F8,F6,RP1,F6,RP1,0,0,0,0,0,,,,F8,M4,RP1,F6,RP1,1,1,0,1,1,,,,F8,F6,RP1,F6,RP1,1,1,0,0,1,,,,F8,F6,RP1,F6,RP1,0,0,0,0,0,,,F8,F6,RP1,F6,RP1,1,1,0,1,1,,,F8,F6,RP1,F6,RP1,1,1,0,0,1,,,F8,F6,RP1,F6,RP1,0,0,0,0,0,,,F8,F6,RP1,F6,RP1,1,1,0,1,1,,,F8,F6,RP1,F6,RP1,1,1,0,0,1,,,F8,F6,RP1,F6,RP1,0,0,0,0,0,,,F8,F6,RP1,F6,RP1,1,1,0,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,RP1,F6,RP1,1,1,0,0,1,,,,M4,M4,RP1,F6,RP1,0,0,0,0,0,,,,M4,M4,RP1,F6,RP1,1,1,0,1,1,,,,M4,M4,RP1,F6,RP1,1,1,0,0,1,,,,M4,M4,RP1,F6,RP1,0,0,0,0,0,,,M4,M4,RP1,F6,RP1,1,1,0,1,1,,,M4,M4,RP1,F6,RP1,1,1,0,0,1,,,M4,M4,RP1,F6,RP1,0,0,0,0,0,,,M4,M4,RP1,F6,RP1,1,1,0,1,1,,,M4,M4,RP1,F6,RP1,1,1,0,0,1,,,M4,M4,RP1,F6,RP1,0,0,0,0,0,,,M4,M4,RP1,F6,RP1,1,1,0,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,RP1,F6,RP1,1,1,0,0,1,,,,M4,M4,RP1,F6,RP1,0,0,0,0,0,,,,M4,M2,RP1,F6,RP1,1,1,0,1,1,,,,M4,M4,RP1,F6,RP1,1,1,0,0,1,,,,M4,M4,RP1,F6,RP1,0,0,0,0,0,,,M4,M4,RP1,F6,RP1,1,1,0,1,1,,,M4,M4,RP1,F6,RP1,1,1,0,0,1,,,M4,M4,RP1,F6,RP1,0,0,0,0,0,,,M4,M4,RP1,F6,RP1,1,1,0,1,1,,,M4,M4,RP1,F6,RP1,1,1,0,0,1,,,M4,M4,RP1,F6,RP1,0,0,0,0,0,,,M4,M4,RP1,F6,RP1,1,1,0,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M2,RP1,F6,RP1,1,1,0,0,1,,,,M5,M2,RP1,F6,RP1,0,0,0,0,0,,,,M5,F10,RP1,F6,RP1,1,1,0,1,1,,,,M5,M2,RP1,F6,RP1,1,1,0,0,1,,,,M5,M2,RP1,F6,RP1,0,0,0,0,0,,,M5,M2,RP1,F6,RP1,1,1,0,1,1,,,M5,M2,RP1,F6,RP1,1,1,0,0,1,,,M5,M2,RP1,F6,RP1,0,0,0,0,0,,,M5,M2,RP1,F6,RP1,1,1,0,1,1,,,M5,M2,RP1,F6,RP1,1,1,0,0,1,,,M5,M2,RP1,F6,RP1,0,0,0,0,0,,,M5,M2,RP1,F6,RP1,1,1,0,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F10,RP1,F10,RP1,1,1,0,0,1,,,,M5,F10,RP1,F10,RP1,0,0,0,0,0,,,,M5,F10,RP1,F10,RP1,1,1,0,1,1,,,,M5,F10,RP1,F10,RP1,1,1,0,0,1,,,,M5,F10,RP1,F10,RP1,0,0,0,0,0,,,M5,F10,RP1,F10,RP1,1,1,0,1,1,,,M5,F10,RP1,F10,RP1,1,1,0,0,1,,,M5,F10,RP1,F10,RP1,0,0,0,0,0,,,M5,F10,RP1,F10,RP1,1,1,0,1,1,,,M5,F10,RP1,F10,RP1,1,1,0,0,1,,,M5,F10,RP1,F10,RP1,0,0,0,0,0,,,M5,F10,RP1,F10,RP1,1,1,0,1,1,,,
